Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Servers,119,97,,http://www.spoj.com/problems/SERVERS/,Spoj,,,
Solitaire,120,309,,http://www.spoj.com/problems/SOLIT/,Spoj,,,
Timetable,121,50,,http://www.spoj.com/problems/TTABLE/,Spoj,,,
Voracious Steve,122,233,,http://www.spoj.com/problems/STEVE/,Spoj,,,
Paying in Byteland,123,367,,http://www.spoj.com/problems/PAYING/,Spoj,,,
Rent your airplane and make money,130,1543,,http://www.spoj.com/problems/RENT/,Spoj,,,
Square dance,131,246,,http://www.spoj.com/problems/SQDANCE/,Spoj,,,
Help R2-D2!,132,458,,http://www.spoj.com/problems/HELPR2D2/,Spoj,,,
Phony Primes,134,157,,http://www.spoj.com/problems/PHONY/,Spoj,,,
Men at work,135,225,,http://www.spoj.com/problems/MAWORK/,Spoj,,,
Transformation,136,72,,http://www.spoj.com/problems/TRANS/,Spoj,,,
Partition,137,598,,http://www.spoj.com/problems/PARTIT/,Spoj,,,
Election Posters,138,882,,http://www.spoj.com/problems/POSTERS/,Spoj,,,
The Long and Narrow Maze,139,174,,http://www.spoj.com/problems/MAZE/,Spoj,,,
The Loner,140,152,,http://www.spoj.com/problems/LONER/,Spoj,,,
Johnny and the Glue,142,95,,http://www.spoj.com/problems/GLUE/,Spoj,,,
Aliens,145,337,,http://www.spoj.com/problems/ALIENS/,Spoj,,,
Fast Multiplication Again,146,34,,http://www.spoj.com/problems/MULTIPLY/,Spoj,,,
Tautology,147,385,,http://www.spoj.com/problems/TAUT/,Spoj,,,
Land for Motorways,148,112,,http://www.spoj.com/problems/MLAND/,Spoj,,,
Fencing in the Sheep,149,86,,http://www.spoj.com/problems/FSHEEP/,Spoj,,,
Where to Drink the Plonk?,150,463,,http://www.spoj.com/problems/PLONK/,Spoj,,,
The Courier,151,460,,http://www.spoj.com/problems/COURIER/,Spoj,,,
Balancing the Stone,153,263,,http://www.spoj.com/problems/SCALES/,Spoj,,,
Sweet and Sour Rock,154,1883,,http://www.spoj.com/problems/ROCK/,Spoj,,,
Choosing a Palindromic Sequence,160,92,,http://www.spoj.com/problems/PALSEC/,Spoj,,,
Paint templates,174,55,,http://www.spoj.com/problems/PAINTTMP/,Spoj,,,
Polygon,175,65,,http://www.spoj.com/problems/POLY1/,Spoj,,,
Sum of one-sequence,176,566,,http://www.spoj.com/problems/SUM1SEQ/,Spoj,,,
AB-words,177,13,,http://www.spoj.com/problems/ABWORDS/,Spoj,,,
Road net,178,1833,,http://www.spoj.com/problems/ROADNET/,Spoj,,,
Word equations,179,165,,http://www.spoj.com/problems/WORDEQ/,Spoj,,,
How to pack containers,180,93,,http://www.spoj.com/problems/CONTPACK/,Spoj,,,
Scuba diver,181,1782,,http://www.spoj.com/problems/SCUBADIV/,Spoj,,,
Window,182,39,,http://www.spoj.com/problems/WINDOW1/,Spoj,,,
Assembler circuits,183,56,,http://www.spoj.com/problems/ASCIRC/,Spoj,,,
Automatic Teller Machines,184,175,,http://www.spoj.com/problems/ATMS/,Spoj,,,
Chase,185,182,,http://www.spoj.com/problems/CHASE1/,Spoj,,,
The lightest language,186,93,,http://www.spoj.com/problems/LITELANG/,Spoj,,,
Flat broken lines,187,91,,http://www.spoj.com/problems/FLBRKLIN/,Spoj,,,
Rectangles,188,161,,http://www.spoj.com/problems/RECTNG1/,Spoj,,,
Musketeers,196,375,,http://www.spoj.com/problems/MUSKET/,Spoj,,,
Empty Cuboids,199,138,,http://www.spoj.com/problems/EMPTY/,Spoj,,,
Monodigital Representations,200,130,,http://www.spoj.com/problems/MONODIG/,Spoj,,,
The Game of Polygons,201,238,,http://www.spoj.com/problems/POLYGAME/,Spoj,,,
Rockets,202,55,,http://www.spoj.com/problems/ROCKETS/,Spoj,,,
Potholers,203,1286,,http://www.spoj.com/problems/POTHOLE/,Spoj,,,
Sleepwalker,204,83,,http://www.spoj.com/problems/SLEEP/,Spoj,,,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Trees,1644,30,,http://www.spoj.com/problems/TREEOI14/,Spoj,,,
Another Mathematical Problem,1671,50,,http://www.spoj.com/problems/AMATH/,Spoj,,,
The Great Indian Wedding,1672,40,,http://www.spoj.com/problems/GIWED/,Spoj,,,
Ambitious Manager,1673,368,,http://www.spoj.com/problems/AMBM/,Spoj,,,
The Explosion,1674,137,,http://www.spoj.com/problems/EXPLOSN/,Spoj,,,
Fusion Cube,1675,74,,http://www.spoj.com/problems/FUSION/,Spoj,,,
Text Generator,1676,165,,http://www.spoj.com/problems/GEN/,Spoj,,,
Halloween treats,1677,636,,http://www.spoj.com/problems/HALLOW/,Spoj,,,
Royal Treasury,1678,64,,http://www.spoj.com/problems/TREASURY/,Spoj,,,
Cylinder,1681,752,,http://www.spoj.com/problems/CYLINDER/,Spoj,,,
Expressions,1683,329,,http://www.spoj.com/problems/EXPRESS/,Spoj,,,
Frequent values,1684,1553,,http://www.spoj.com/problems/FREQUENT/,Spoj,,,
Grocery store,1685,172,,http://www.spoj.com/problems/GROCERY/,Spoj,,,
Logic II,1687,21,,http://www.spoj.com/problems/LOGIC2/,Spoj,,,
A Very Easy Problem!,1688,4501,,http://www.spoj.com/problems/EASYPROB/,Spoj,,,
Hard Problem,1689,14,,http://www.spoj.com/problems/HARDP/,Spoj,,,
Coconuts,1693,350,,http://www.spoj.com/problems/COCONUTS/,Spoj,,,
Grandpa’s Rubik Cube,1695,103,,http://www.spoj.com/problems/GRC/,Spoj,,,
Will Indiana Jones Get There,1696,85,,http://www.spoj.com/problems/WIJGT/,Spoj,,,
Ohgas' Fortune,1697,566,,http://www.spoj.com/problems/OFORTUNE/,Spoj,,,
Polygonal Line Search,1698,147,,http://www.spoj.com/problems/PLSEARCH/,Spoj,,,
Numeral System,1699,1874,,http://www.spoj.com/problems/NSYSTEM/,Spoj,,,
Traveling by Stagecoach,1700,191,,http://www.spoj.com/problems/TRSTAGE/,Spoj,,,
Earth Observation with a Mobile Robot Team,1701,8,,http://www.spoj.com/problems/EOWAMRT/,Spoj,,,
Cleaning Robot,1702,681,,http://www.spoj.com/problems/CLEANRBT/,Spoj,,,
ACM (ACronymMaker),1703,542,,http://www.spoj.com/problems/ACMAKER/,Spoj,,,
Countdown,1704,193,,http://www.spoj.com/problems/CDOWN/,Spoj,,,
The Game of Efil,1705,85,,http://www.spoj.com/problems/GAMEFIL/,Spoj,,,
"Queens, Knights and Pawns",1706,451,,http://www.spoj.com/problems/QKP/,Spoj,,,
Reliable Nets,1707,256,,http://www.spoj.com/problems/RELINETS/,Spoj,,,
Square Count,1708,69,,http://www.spoj.com/problems/SQCOUNT/,Spoj,,,
Swamp Things,1709,272,,http://www.spoj.com/problems/SWTHIN/,Spoj,,,
Two Ends,1710,1925,,http://www.spoj.com/problems/TWENDS/,Spoj,,,
Permalex,1712,154,,http://www.spoj.com/problems/PRMLX/,Spoj,,,
Funny scales,1713,333,,http://www.spoj.com/problems/SCALE/,Spoj,,,
Another Necklace Problem,1715,39,,http://www.spoj.com/problems/NCKLCE/,Spoj,,,
Can you answer these queries III,1716,3109,,http://www.spoj.com/problems/GSS3/,Spoj,,,
"Life, the Universe, and Everything II",1722,62,,http://www.spoj.com/problems/RP/,Spoj,,,
Bee Maja,1723,499,,http://www.spoj.com/problems/BMJ/,Spoj,,,
Counting Triangles,1724,7173,,http://www.spoj.com/problems/TRICOUNT/,Spoj,,,
The Importance,1725,89,,http://www.spoj.com/problems/IMPORT1/,Spoj,,,
Exchange,1726,18,,http://www.spoj.com/problems/EXCHANGE/,Spoj,,,
Common Permutation,1728,2897,,http://www.spoj.com/problems/CPRMT/,Spoj,,,
Counting Triangles II,1730,347,,http://www.spoj.com/problems/TCOUNT2/,Spoj,,,
Counting Triangles III,1731,221,,http://www.spoj.com/problems/TCOUNT3/,Spoj,,,
Yet Another Equation,1739,187,,http://www.spoj.com/problems/EQU2/,Spoj,,,
Tetris 3D,1741,51,,http://www.spoj.com/problems/TETRIS3D/,Spoj,,,
Evaluate the polynomial,1744,1940,,http://www.spoj.com/problems/POLEVAL/,Spoj,,,
Sequence Partitioning II,1748,45,,http://www.spoj.com/problems/SEQPAR2/,Spoj,,,
Divisor Summation (Hard),1754,351,,http://www.spoj.com/problems/DIVSUM2/,Spoj,,,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Free Tour,944,16,,http://www.spoj.com/problems/FTOUR/,Spoj,,,
Intergalactic Map,962,359,,http://www.spoj.com/problems/IM/,Spoj,,,
Entrapment,964,282,,http://www.spoj.com/problems/EN/,Spoj,,,
Parking Bay,967,396,,http://www.spoj.com/problems/PB/,Spoj,,,
Birthday,972,113,,http://www.spoj.com/problems/BIRTHDAY/,Spoj,,,
Mobile,987,67,,http://www.spoj.com/problems/MOBILE/,Spoj,,,
Continuous Fractions,996,251,,http://www.spoj.com/problems/CFRAC/,Spoj,,,
Generalized Matrioshkas,999,316,,http://www.spoj.com/problems/MATRIOSH/,Spoj,,,
Equidivisions,1000,485,,http://www.spoj.com/problems/EQDIV/,Spoj,,,
Babylonian Roulette,1001,452,,http://www.spoj.com/problems/BROUL/,Spoj,,,
Uncle Jack,1002,2320,,http://www.spoj.com/problems/UJ/,Spoj,,,
Little Quilt,1003,96,,http://www.spoj.com/problems/QUILT/,Spoj,,,
Polygon Encoder,1004,53,,http://www.spoj.com/problems/POLYCODE/,Spoj,,,
Aibohphobia,1021,3515,,http://www.spoj.com/problems/AIBOHP/,Spoj,,,
Angels and Devils,1022,440,,http://www.spoj.com/problems/ANGELS/,Spoj,,,
Complete Chess Boards,1024,446,,http://www.spoj.com/problems/COMCB/,Spoj,,,
Fashion Shows,1025,12427,,http://www.spoj.com/problems/FASHION/,Spoj,,,
Favorite Dice,1026,2722,,http://www.spoj.com/problems/FAVDICE/,Spoj,,,
Fool the Police,1027,1033,,http://www.spoj.com/problems/FPOLICE/,Spoj,,,
Hubulullu,1028,4660,,http://www.spoj.com/problems/HUBULLU/,Spoj,,,
Matrix Summation,1029,1713,,http://www.spoj.com/problems/MATSUM/,Spoj,,,
Triple Fat Ladies,1030,9124,,http://www.spoj.com/problems/EIGHTS/,Spoj,,,
Up Subsequence,1031,613,,http://www.spoj.com/problems/UPSUB/,Spoj,,,
Can you answer these queries I,1043,4053,,http://www.spoj.com/problems/GSS1/,Spoj,,,
Card Trick,1108,1075,,http://www.spoj.com/problems/CTRICK/,Spoj,,,
Sudoku,1110,129,,http://www.spoj.com/problems/SUDOKU/,Spoj,,,
Number Steps,1112,15233,,http://www.spoj.com/problems/NSTEPS/,Spoj,,,
Tic-Tac-Toe ( I ),1161,1553,,http://www.spoj.com/problems/TOE1/,Spoj,,,
Tic-Tac-Toe ( II ),1162,1143,,http://www.spoj.com/problems/TOE2/,Spoj,,,
Java vs C ++,1163,4034,,http://www.spoj.com/problems/JAVAC/,Spoj,,,
Dead Fraction,1166,271,,http://www.spoj.com/problems/DEADFR/,Spoj,,,
Move To Invert,1167,1981,,http://www.spoj.com/problems/MINCOUNT/,Spoj,,,
Sorted bit squence,1182,252,,http://www.spoj.com/problems/SORTBIT/,Spoj,,,
Accomodate the palace,1183,402,,http://www.spoj.com/problems/PALACE/,Spoj,,,
Origin of Life,1267,31,,http://www.spoj.com/problems/ORIGLIFE/,Spoj,,,
CN Tower (Easy),1268,982,,http://www.spoj.com/problems/CNEASY/,Spoj,,,
CN Tower (Hard),1269,23,,http://www.spoj.com/problems/CNHARD/,Spoj,,,
Paint By Numbers,1270,18,,http://www.spoj.com/problems/PNTBYNUM/,Spoj,,,
Continuous Fractions Again,1285,292,,http://www.spoj.com/problems/CFRAC2/,Spoj,,,
4 values whose sum is 0,1296,2509,,http://www.spoj.com/problems/SUMFOUR/,Spoj,,,
Partial Sums,1325,204,,http://www.spoj.com/problems/PARTSUM/,Spoj,,,
A Chase In WonderLand,1326,275,,http://www.spoj.com/problems/CHASE/,Spoj,,,
Matrix,1329,311,,http://www.spoj.com/problems/KPMATRIX/,Spoj,,,
Maze,1335,35,,http://www.spoj.com/problems/KPMAZE/,Spoj,,,
Summing to a Square Prime,1391,904,,http://www.spoj.com/problems/CZ_PROB1/,Spoj,,,
The Cats and the Mouse,1418,1353,,http://www.spoj.com/problems/CATM/,Spoj,,,
A Game with Numbers,1419,5717,,http://www.spoj.com/problems/NGM/,Spoj,,,
Geometry and a Square,1420,254,,http://www.spoj.com/problems/GEOM/,Spoj,,,
Goods,1421,137,,http://www.spoj.com/problems/FIRM/,Spoj,,,
Projections Of A Polygon,1431,96,,http://www.spoj.com/problems/KPPOLY/,Spoj,,,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Railroads,391,79,,http://www.spoj.com/problems/RAILROAD/,Spoj,,,
Spin,392,37,,http://www.spoj.com/problems/SPIN/,Spoj,,,
Hexagon,393,65,,http://www.spoj.com/problems/HEXAGON/,Spoj,,,
Alphacode,394,7986,,http://www.spoj.com/problems/ACODE/,Spoj,,,
Anti-prime Sequences,395,300,,http://www.spoj.com/problems/APRIME/,Spoj,,,
Hit or Miss,396,118,,http://www.spoj.com/problems/HITOMISS/,Spoj,,,
I Conduit,397,151,,http://www.spoj.com/problems/CONDUIT/,Spoj,,,
Roll Playing Games,398,114,,http://www.spoj.com/problems/RPGAMES/,Spoj,,,
Team Rankings,399,372,,http://www.spoj.com/problems/TRANK/,Spoj,,,
To and Fro,400,12638,,http://www.spoj.com/problems/TOANDFRO/,Spoj,,,
Translations,401,122,,http://www.spoj.com/problems/TRANSL/,Spoj,,,
Hike on a Graph,402,634,,http://www.spoj.com/problems/HIKE/,Spoj,,,
Sort fractions,403,604,,http://www.spoj.com/problems/FRACTION/,Spoj,,,
Scanner,404,53,,http://www.spoj.com/problems/SCANNER/,Spoj,,,
Tin Cutter,405,125,,http://www.spoj.com/problems/TCUTTER/,Spoj,,,
Logic,406,100,,http://www.spoj.com/problems/LOGIC/,Spoj,,,
Random Number,407,41,,http://www.spoj.com/problems/RNUMBER/,Spoj,,,
Jill Rides Again,408,777,,http://www.spoj.com/problems/JRIDE/,Spoj,,,
DEL Command,409,67,,http://www.spoj.com/problems/DELCOMM/,Spoj,,,
Variable Radix Huffman Encoding,410,60,,http://www.spoj.com/problems/VHUFFM/,Spoj,,,
Number of quite different words,411,205,,http://www.spoj.com/problems/NUMQDW/,Spoj,,,
K-path cover,412,162,,http://www.spoj.com/problems/COVER/,Spoj,,,
Word Puzzles,413,270,,http://www.spoj.com/problems/WPUZZLES/,Spoj,,,
Equatorial Bonfire,414,67,,http://www.spoj.com/problems/BONFIRE/,Spoj,,,
Divisibility by 15,416,923,,http://www.spoj.com/problems/DIV15/,Spoj,,,
The lazy programmer,417,287,,http://www.spoj.com/problems/LAZYPROG/,Spoj,,,
Necklace,418,34,,http://www.spoj.com/problems/NECKLACE/,Spoj,,,
Transposing is Fun,419,159,,http://www.spoj.com/problems/TRANSP/,Spoj,,,
Another Road Problem,421,64,,http://www.spoj.com/problems/AROAD/,Spoj,,,
Transposing is Even More Fun,422,151,,http://www.spoj.com/problems/TRANSP2/,Spoj,,,
Assignments,423,1668,,http://www.spoj.com/problems/ASSIGN/,Spoj,,,
Particular Palindromes,428,396,,http://www.spoj.com/problems/PARTPALI/,Spoj,,,
Simple Numbers with Fractions Conversion,449,31,,http://www.spoj.com/problems/TCNUMFL/,Spoj,,,
Permutation generator,479,113,,http://www.spoj.com/problems/TPERML/,Spoj,,,
Roots of polynomial,481,34,,http://www.spoj.com/problems/KMSL4B/,Spoj,,,
Fossil in the Ice,484,253,,http://www.spoj.com/problems/TFOSS/,Spoj,,,
Prime Intervals,503,403,,http://www.spoj.com/problems/PRINT/,Spoj,,,
Collatz,515,381,,http://www.spoj.com/problems/CLTZ/,Spoj,,,
Zig-Zag Permutation,518,37,,http://www.spoj.com/problems/ZZPERM/,Spoj,,,
Divisors,526,714,,http://www.spoj.com/problems/DIV/,Spoj,,,
Divisors 2,530,507,,http://www.spoj.com/problems/DIV2/,Spoj,,,
Increasing Subsequences,598,138,,http://www.spoj.com/problems/INCR/,Spoj,,,
Dungeon of Death,660,906,,http://www.spoj.com/problems/QUEST4/,Spoj,,,
Nail Them,661,635,,http://www.spoj.com/problems/QUEST5/,Spoj,,,
String it out,665,678,,http://www.spoj.com/problems/SUBS/,Spoj,,,
Con-Junctions,666,462,,http://www.spoj.com/problems/VOCV/,Spoj,,,
Sorting is not easy,676,424,,http://www.spoj.com/problems/LSORT/,Spoj,,,
A place for the brewery,677,197,,http://www.spoj.com/problems/BROW/,Spoj,,,
Building the Tower,681,85,,http://www.spoj.com/problems/HANOI07/,Spoj,,,
Pairs of Integers,682,188,,http://www.spoj.com/problems/PAIRINT/,Spoj,,,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
"Life, the Universe, and Everything",1,82435,,http://www.spoj.com/problems/TEST/,Spoj,,,
Prime Generator,2,25465,,http://www.spoj.com/problems/PRIME1/,Spoj,,,
Substring Check (Bug Funny),3,589,,http://www.spoj.com/problems/SBSTR1/,Spoj,,,
Transform the Expression,4,17373,,http://www.spoj.com/problems/ONP/,Spoj,,,
The Next Palindrome,5,8652,,http://www.spoj.com/problems/PALIN/,Spoj,,,
Simple Arithmetics,6,1674,,http://www.spoj.com/problems/ARITH/,Spoj,,,
The Bulk!,7,295,,http://www.spoj.com/problems/BULK/,Spoj,,,
Complete the Sequence!,8,1637,,http://www.spoj.com/problems/CMPLS/,Spoj,,,
Direct Visibility,9,182,,http://www.spoj.com/problems/DIRVS/,Spoj,,,
Complicated Expressions,10,608,,http://www.spoj.com/problems/CMEXPR/,Spoj,,,
Factorial,11,25677,,http://www.spoj.com/problems/FCTRL/,Spoj,,,
The Game of Master-Mind,12,188,,http://www.spoj.com/problems/MMIND/,Spoj,,,
Hotline,13,144,,http://www.spoj.com/problems/HOTLINE/,Spoj,,,
I-Keyboard,14,658,,http://www.spoj.com/problems/IKEYB/,Spoj,,,
The Shortest Path,15,2130,,http://www.spoj.com/problems/SHPATH/,Spoj,,,
Sphere in a tetrahedron,16,1708,,http://www.spoj.com/problems/TETRA/,Spoj,,,
The Bytelandian Cryptographer (Act I),17,632,,http://www.spoj.com/problems/CRYPTO1/,Spoj,,,
The Bytelandian Cryptographer (Act II),18,572,,http://www.spoj.com/problems/CRYPTO2/,Spoj,,,
The Bytelandian Cryptographer (Act IV),20,32,,http://www.spoj.com/problems/CRYPTO4/,Spoj,,,
Triangle From Centroid,22,1209,,http://www.spoj.com/problems/TRICENTR/,Spoj,,,
Pyramids,23,3080,,http://www.spoj.com/problems/PIR/,Spoj,,,
Small factorials,24,21082,,http://www.spoj.com/problems/FCTRL2/,Spoj,,,
Pouring water,25,2236,,http://www.spoj.com/problems/POUR1/,Spoj,,,
Build the Fence,26,989,,http://www.spoj.com/problems/BSHEEP/,Spoj,,,
Sorting Bank Accounts,27,3734,,http://www.spoj.com/problems/SBANK/,Spoj,,,
Help the Military Recruitment Office!,28,346,,http://www.spoj.com/problems/HMRO/,Spoj,,,
