Constrained Tree                    ,                513D2,233,,https://www.codeforces.com/problemset/problem/513/D2,Codeforces,"['constructive algorithms', 'data structures']",,
Constrained Tree                    ,                513D1,315,,https://www.codeforces.com/problemset/problem/513/D1,Codeforces,['dfs and similar'],,
Second price auction                    ,                513C,1060,,https://www.codeforces.com/problemset/problem/513/C,Codeforces,"['bitmasks', 'probabilities']",,
Permutations                    ,                513B2,1934,,https://www.codeforces.com/problemset/problem/513/B2,Codeforces,"['bitmasks', 'divide and conquer', 'math']",,
Permutations                    ,                513B1,2893,,https://www.codeforces.com/problemset/problem/513/B1,Codeforces,['brute force'],,
Game                    ,                513A,6265,,https://www.codeforces.com/problemset/problem/513/A,Codeforces,"['constructive algorithms', 'math']",,
Fox And Polygon                    ,                512E,97,,https://www.codeforces.com/problemset/problem/512/E,Codeforces,"['constructive algorithms', 'divide and conquer']",,
Fox And Travelling                    ,                512D,132,,https://www.codeforces.com/problemset/problem/512/D,Codeforces,"['dp', 'trees']",,
Fox And Dinner                    ,                510E,679,,https://www.codeforces.com/problemset/problem/510/E,Codeforces,['flows'],,
Fox And Jumping                    ,                510D,1725,,https://www.codeforces.com/problemset/problem/510/D,Codeforces,"['bitmasks', 'brute force', 'dp', 'math']",,
Fox And Names                    ,                510C,2984,,https://www.codeforces.com/problemset/problem/510/C,Codeforces,"['dfs and similar', 'graphs', 'sortings']",,
Fox And Two Dots                    ,                510B,3005,,https://www.codeforces.com/problemset/problem/510/B,Codeforces,['dfs and similar'],,
Fox And Snake                    ,                510A,7028,,https://www.codeforces.com/problemset/problem/510/A,Codeforces,['implementation'],,
Progress Monitoring                    ,                509F,339,,https://www.codeforces.com/problemset/problem/509/F,Codeforces,['dp'],,
Pretty Song                    ,                509E,1074,,https://www.codeforces.com/problemset/problem/509/E,Codeforces,"['math', 'strings']",,
Restoring Numbers                    ,                509D,421,,https://www.codeforces.com/problemset/problem/509/D,Codeforces,"['constructive algorithms', 'math']",,
Sums of Digits                    ,                509C,1099,,https://www.codeforces.com/problemset/problem/509/C,Codeforces,"['dp', 'greedy', 'implementation']",,
Painting Pebbles                    ,                509B,3460,,https://www.codeforces.com/problemset/problem/509/B,Codeforces,"['constructive algorithms', 'greedy', 'implementation']",,
Maximum in Table                    ,                509A,6275,,https://www.codeforces.com/problemset/problem/509/A,Codeforces,"['brute force', 'implementation']",,
Arthur and Brackets                    ,                508E,669,,https://www.codeforces.com/problemset/problem/508/E,Codeforces,"['dp', 'greedy']",,
Tanya and Password                    ,                508D,646,,https://www.codeforces.com/problemset/problem/508/D,Codeforces,"['dfs and similar', 'graphs']",,
Anya and Ghosts                    ,                508C,2353,,https://www.codeforces.com/problemset/problem/508/C,Codeforces,['greedy'],,
Anton and currency you all know                    ,                508B,4460,,https://www.codeforces.com/problemset/problem/508/B,Codeforces,['greedy'],,
Pasha and Pixels                    ,                508A,4556,,https://www.codeforces.com/problemset/problem/508/A,Codeforces,['brute force'],,
Breaking Good                    ,                507E,862,,https://www.codeforces.com/problemset/problem/507/E,Codeforces,"['dfs and similar', 'dp', 'graphs', 'shortest paths']",,
The Maths Lecture                    ,                507D,689,,https://www.codeforces.com/problemset/problem/507/D,Codeforces,"['dp', 'implementation']",,
Guess Your Way Out!                    ,                507C,2252,,https://www.codeforces.com/problemset/problem/507/C,Codeforces,"['implementation', 'math']",,
Amr and Pins                    ,                507B,4348,,https://www.codeforces.com/problemset/problem/507/B,Codeforces,"['geometry', 'math']",,
Amr and Music                    ,                507A,5715,,https://www.codeforces.com/problemset/problem/507/A,Codeforces,"['greedy', 'implementation', 'sortings']",,
Mr. Kitayuta's Gift                    ,                506E,43,,https://www.codeforces.com/problemset/problem/506/E,Codeforces,"['combinatorics', 'dp', 'matrices', 'strings']",,
Mr. Kitayuta's Colorful Graph                    ,                506D,439,,https://www.codeforces.com/problemset/problem/506/D,Codeforces,"['brute force', 'dfs and similar', 'dsu']",,
Mr. Kitayuta vs. Bamboos                    ,                505E,113,,https://www.codeforces.com/problemset/problem/505/E,Codeforces,"['binary search', 'greedy']",,
Mr. Kitayuta's Technology                    ,                505D,793,,https://www.codeforces.com/problemset/problem/505/D,Codeforces,['dfs and similar'],,
"Mr. Kitayuta, the Treasure Hunter                    ",                505C,1587,,https://www.codeforces.com/problemset/problem/505/C,Codeforces,"['dfs and similar', 'dp', 'two pointers']",,
Mr. Kitayuta's Colorful Graph                    ,                505B,2432,,https://www.codeforces.com/problemset/problem/505/B,Codeforces,"['dfs and similar', 'dp', 'dsu', 'graphs']",,
Mr. Kitayuta's Gift                    ,                505A,3345,,https://www.codeforces.com/problemset/problem/505/A,Codeforces,"['brute force', 'implementation', 'strings']",,
Misha and LCP on Tree                    ,                504E,60,,https://www.codeforces.com/problemset/problem/504/E,Codeforces,"['binary search', 'dfs and similar', 'hashing', 'string suffix structures', 'trees']",,
Misha and XOR                    ,                504D,134,,https://www.codeforces.com/problemset/problem/504/D,Codeforces,['bitmasks'],,
Misha and Palindrome Degree                    ,                501E,342,,https://www.codeforces.com/problemset/problem/501/E,Codeforces,"['binary search', 'combinatorics', 'implementation']",,
Misha and Permutations Summation                    ,                501D,959,,https://www.codeforces.com/problemset/problem/501/D,Codeforces,['data structures'],,
Misha and Forest                    ,                501C,2333,,https://www.codeforces.com/problemset/problem/501/C,Codeforces,"['constructive algorithms', 'data structures', 'greedy', 'sortings', 'trees']",,
Misha and Changing Handles                    ,                501B,3419,,https://www.codeforces.com/problemset/problem/501/B,Codeforces,"['data structures', 'dsu', 'strings']",,
Contest                    ,                501A,4890,,https://www.codeforces.com/problemset/problem/501/A,Codeforces,['implementation'],,
New Year Running                    ,                500G,34,,https://www.codeforces.com/problemset/problem/500/G,Codeforces,"['number theory', 'trees']",,
New Year Shopping                    ,                500F,190,,https://www.codeforces.com/problemset/problem/500/F,Codeforces,"['divide and conquer', 'dp']",,
New Year Domino                    ,                500E,608,,https://www.codeforces.com/problemset/problem/500/E,Codeforces,"['data structures', 'dp', 'dsu']",,
New Year Santa Network                    ,                500D,1601,,https://www.codeforces.com/problemset/problem/500/D,Codeforces,"['combinatorics', 'dfs and similar', 'graphs', 'trees']",,
New Year Book Reading                    ,                500C,3394,,https://www.codeforces.com/problemset/problem/500/C,Codeforces,"['constructive algorithms', 'greedy', 'implementation', 'math']",,
New Year Permutation                    ,                500B,3429,,https://www.codeforces.com/problemset/problem/500/B,Codeforces,"['dfs and similar', 'dsu', 'graphs', 'greedy', 'math', 'sortings']",,
New Year Transportation                    ,                500A,7348,,https://www.codeforces.com/problemset/problem/500/A,Codeforces,"['dfs and similar', 'graphs', 'implementation']",,
Lecture                    ,                499B,4974,,https://www.codeforces.com/problemset/problem/499/B,Codeforces,['strings'],,
Watching a movie                    ,                499A,4565,,https://www.codeforces.com/problemset/problem/499/A,Codeforces,['implementation'],,
Stairs and Lines                    ,                498E,151,,https://www.codeforces.com/problemset/problem/498/E,Codeforces,"['dp', 'matrices']",,
Traffic Jams in the Land                    ,                498D,380,,https://www.codeforces.com/problemset/problem/498/D,Codeforces,"['data structures', 'dp', 'number theory']",,
Array and Operations                    ,                498C,904,,https://www.codeforces.com/problemset/problem/498/C,Codeforces,"['flows', 'graph matchings', 'number theory']",,
Name That Tune                    ,                498B,534,,https://www.codeforces.com/problemset/problem/498/B,Codeforces,"['dp', 'probabilities', 'two pointers']",,
Crazy Town                    ,                498A,3069,,https://www.codeforces.com/problemset/problem/498/A,Codeforces,['geometry'],,
Subsequences Return                    ,                497E,70,,https://www.codeforces.com/problemset/problem/497/E,Codeforces,"['dp', 'matrices']",,
Gears                    ,                497D,91,,https://www.codeforces.com/problemset/problem/497/D,Codeforces,"['brute force', 'geometry', 'math']",,
Distributing Parts                     ,                496E,856,,https://www.codeforces.com/problemset/problem/496/E,Codeforces,"['greedy', 'sortings']",,
Tennis Game                    ,                496D,1489,,https://www.codeforces.com/problemset/problem/496/D,Codeforces,['binary search'],,
Removing Columns                    ,                496C,3354,,https://www.codeforces.com/problemset/problem/496/C,Codeforces,"['brute force', 'constructive algorithms', 'implementation']",,
Secret Combination                    ,                496B,2839,,https://www.codeforces.com/problemset/problem/496/B,Codeforces,"['brute force', 'constructive algorithms', 'implementation']",,
Minimum Difficulty                    ,                496A,4935,,https://www.codeforces.com/problemset/problem/496/A,Codeforces,"['brute force', 'implementation', 'math']",,
Modular Equations                    ,                495B,2556,,https://www.codeforces.com/problemset/problem/495/B,Codeforces,['math'],,
Digital Counter                    ,                495A,4226,,https://www.codeforces.com/problemset/problem/495/A,Codeforces,['implementation'],,
Sharti                    ,                494E,35,,https://www.codeforces.com/problemset/problem/494/E,Codeforces,['games'],,
Birthday                    ,                494D,206,,https://www.codeforces.com/problemset/problem/494/D,Codeforces,"['data structures', 'dfs and similar', 'dp', 'trees']",,
Helping People                    ,                494C,236,,https://www.codeforces.com/problemset/problem/494/C,Codeforces,"['dp', 'probabilities']",,
Obsessive String                    ,                494B,980,,https://www.codeforces.com/problemset/problem/494/B,Codeforces,"['dp', 'strings']",,
Treasure                    ,                494A,2894,,https://www.codeforces.com/problemset/problem/494/A,Codeforces,['greedy'],,
Vasya and Polynomial                    ,                493E,249,,https://www.codeforces.com/problemset/problem/493/E,Codeforces,['math'],,
Vasya and Chess                    ,                493D,2303,,https://www.codeforces.com/problemset/problem/493/D,Codeforces,"['constructive algorithms', 'games']",,
Vasya and Basketball                    ,                493C,2340,,https://www.codeforces.com/problemset/problem/493/C,Codeforces,"['binary search', 'brute force', 'implementation', 'sortings', 'two pointers']",,
Vasya and Wrestling                    ,                493B,3454,,https://www.codeforces.com/problemset/problem/493/B,Codeforces,['implementation'],,
Vasya and Football                    ,                493A,3849,,https://www.codeforces.com/problemset/problem/493/A,Codeforces,['implementation'],,
Vanya and Field                    ,                492E,892,,https://www.codeforces.com/problemset/problem/492/E,Codeforces,['math'],,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Listening to Music                    ,                543E,44,,https://www.codeforces.com/problemset/problem/543/E,Codeforces,"['constructive algorithms', 'data structures']",,
Road Improvement                    ,                543D,632,,https://www.codeforces.com/problemset/problem/543/D,Codeforces,"['dp', 'trees']",,
Remembering Strings                    ,                543C,481,,https://www.codeforces.com/problemset/problem/543/C,Codeforces,"['bitmasks', 'dp']",,
Destroying Roads                    ,                543B,1291,,https://www.codeforces.com/problemset/problem/543/B,Codeforces,"['graphs', 'shortest paths']",,
Writing Code                    ,                543A,2324,,https://www.codeforces.com/problemset/problem/543/A,Codeforces,['dp'],,
Quest                    ,                542F,336,,https://www.codeforces.com/problemset/problem/542/F,Codeforces,"['dp', 'greedy']",,
Playing on Graph                    ,                542E,129,,https://www.codeforces.com/problemset/problem/542/E,Codeforces,"['graphs', 'shortest paths']",,
Superhero's Job                    ,                542D,180,,https://www.codeforces.com/problemset/problem/542/D,Codeforces,"['dfs and similar', 'dp', 'hashing', 'math', 'number theory']",,
Idempotent functions                    ,                542C,496,,https://www.codeforces.com/problemset/problem/542/C,Codeforces,"['constructive algorithms', 'graphs', 'math']",,
Duck Hunt                    ,                542B,27,,https://www.codeforces.com/problemset/problem/542/B,Codeforces,['data structures'],,
Place Your Ad Here                    ,                542A,182,,https://www.codeforces.com/problemset/problem/542/A,Codeforces,"['data structures', 'sortings']",,
Infinite Inversions                    ,                540E,625,,https://www.codeforces.com/problemset/problem/540/E,Codeforces,"['binary search', 'data structures', 'implementation', 'sortings', 'trees']",,
Bad Luck Island                    ,                540D,1396,,https://www.codeforces.com/problemset/problem/540/D,Codeforces,"['dp', 'probabilities']",,
Ice Cave                    ,                540C,2162,,https://www.codeforces.com/problemset/problem/540/C,Codeforces,['dfs and similar'],,
School Marks                    ,                540B,2532,,https://www.codeforces.com/problemset/problem/540/B,Codeforces,"['greedy', 'implementation']",,
Combination Lock                    ,                540A,6441,,https://www.codeforces.com/problemset/problem/540/A,Codeforces,['implementation'],,
Summer Dichotomy                    ,                538H,59,,https://www.codeforces.com/problemset/problem/538/H,Codeforces,"['2-sat', 'data structures', 'dfs and similar', 'greedy']",,
Berserk Robot                     ,                538G,54,,https://www.codeforces.com/problemset/problem/538/G,Codeforces,"['constructive algorithms', 'math', 'sortings']",,
A Heap of Heaps                    ,                538F,708,,https://www.codeforces.com/problemset/problem/538/F,Codeforces,"['brute force', 'data structures', 'math', 'sortings']",,
Demiurges Play Again                    ,                538E,850,,https://www.codeforces.com/problemset/problem/538/E,Codeforces,"['dfs and similar', 'dp', 'math', 'trees']",,
Weird Chess                    ,                538D,1712,,https://www.codeforces.com/problemset/problem/538/D,Codeforces,"['brute force', 'constructive algorithms', 'implementation']",,
Tourist's Notes                    ,                538C,3074,,https://www.codeforces.com/problemset/problem/538/C,Codeforces,"['binary search', 'brute force', 'greedy', 'implementation', 'math']",,
Quasi Binary                    ,                538B,4350,,https://www.codeforces.com/problemset/problem/538/B,Codeforces,"['constructive algorithms', 'dp', 'greedy', 'implementation']",,
Cutting Banner                    ,                538A,3947,,https://www.codeforces.com/problemset/problem/538/A,Codeforces,"['brute force', 'implementation']",,
Tavas on the Path                    ,                536E,85,,https://www.codeforces.com/problemset/problem/536/E,Codeforces,"['data structures', 'divide and conquer', 'trees']",,
Tavas in Kansas                    ,                536D,99,,https://www.codeforces.com/problemset/problem/536/D,Codeforces,"['dp', 'games']",,
Tavas and Pashmaks                    ,                535E,322,,https://www.codeforces.com/problemset/problem/535/E,Codeforces,['geometry'],,
Tavas and Malekas                    ,                535D,1339,,https://www.codeforces.com/problemset/problem/535/D,Codeforces,"['greedy', 'hashing', 'string suffix structures', 'strings']",,
Tavas and Karafs                    ,                535C,1970,,https://www.codeforces.com/problemset/problem/535/C,Codeforces,"['binary search', 'math']",,
Tavas and SaDDas                    ,                535B,4572,,https://www.codeforces.com/problemset/problem/535/B,Codeforces,"['bitmasks', 'brute force', 'implementation']",,
Tavas and Nafas                    ,                535A,5284,,https://www.codeforces.com/problemset/problem/535/A,Codeforces,['implementation'],,
Simplified Nonogram                    ,                534F,209,,https://www.codeforces.com/problemset/problem/534/F,Codeforces,"['bitmasks', 'dp', 'hashing', 'meet-in-the-middle']",,
Berland Local Positioning System                    ,                534E,210,,https://www.codeforces.com/problemset/problem/534/E,Codeforces,"['constructive algorithms', 'greedy', 'hashing', 'implementation']",,
Handshakes                    ,                534D,1132,,https://www.codeforces.com/problemset/problem/534/D,Codeforces,"['binary search', 'constructive algorithms', 'data structures', 'greedy']",,
Polycarpus' Dice                    ,                534C,2309,,https://www.codeforces.com/problemset/problem/534/C,Codeforces,['math'],,
Covered Path                    ,                534B,3170,,https://www.codeforces.com/problemset/problem/534/B,Codeforces,"['dp', 'greedy', 'math']",,
Exam                    ,                534A,5066,,https://www.codeforces.com/problemset/problem/534/A,Codeforces,"['constructive algorithms', 'implementation']",,
Encoding                    ,                533F,218,,https://www.codeforces.com/problemset/problem/533/F,Codeforces,"['hashing', 'string suffix structures', 'strings']",,
Correcting Mistakes                    ,                533E,544,,https://www.codeforces.com/problemset/problem/533/E,Codeforces,"['constructive algorithms', 'dp', 'greedy', 'hashing', 'strings', 'two pointers']",,
Landmarks                    ,                533D,41,,https://www.codeforces.com/problemset/problem/533/D,Codeforces,['data structures'],,
Board Game                    ,                533C,613,,https://www.codeforces.com/problemset/problem/533/C,Codeforces,"['games', 'greedy', 'implementation', 'math']",,
Work Group                    ,                533B,442,,https://www.codeforces.com/problemset/problem/533/B,Codeforces,"['dfs and similar', 'dp', 'graphs', 'strings', 'trees']",,
Berland Miners                    ,                533A,51,,https://www.codeforces.com/problemset/problem/533/A,Codeforces,"['binary search', 'data structures', 'dfs and similar', 'greedy', 'trees']",,
Different variables                    ,                530I,20,,https://www.codeforces.com/problemset/problem/530/I,Codeforces,[],,
Points in triangle                    ,                530H,53,,https://www.codeforces.com/problemset/problem/530/H,Codeforces,['geometry'],,
Levenshtein distance                    ,                530G,38,,https://www.codeforces.com/problemset/problem/530/G,Codeforces,[],,
Jumping frogs                    ,                530F,34,,https://www.codeforces.com/problemset/problem/530/F,Codeforces,[],,
Sum and product                    ,                530E,71,,https://www.codeforces.com/problemset/problem/530/E,Codeforces,[],,
Set subtraction                    ,                530D,90,,https://www.codeforces.com/problemset/problem/530/D,Codeforces,[],,
Diophantine equation                    ,                530C,103,,https://www.codeforces.com/problemset/problem/530/C,Codeforces,[],,
String inside out                    ,                530B,116,,https://www.codeforces.com/problemset/problem/530/B,Codeforces,[],,
Quadratic equation                    ,                530A,167,,https://www.codeforces.com/problemset/problem/530/A,Codeforces,[],,
Group Photo 2 (online mirror version)                    ,                529B,533,,https://www.codeforces.com/problemset/problem/529/B,Codeforces,"['brute force', 'greedy', 'sortings']",,
Triangles 3000                    ,                528E,56,,https://www.codeforces.com/problemset/problem/528/E,Codeforces,"['geometry', 'sortings']",,
Fuzzy Search                    ,                528D,274,,https://www.codeforces.com/problemset/problem/528/D,Codeforces,"['bitmasks', 'brute force', 'fft']",,
Data Center Drama                    ,                527E,427,,https://www.codeforces.com/problemset/problem/527/E,Codeforces,"['dfs and similar', 'graphs']",,
Clique Problem                    ,                527D,1786,,https://www.codeforces.com/problemset/problem/527/D,Codeforces,"['data structures', 'dp', 'greedy', 'implementation', 'sortings']",,
Glass Carving                    ,                527C,2684,,https://www.codeforces.com/problemset/problem/527/C,Codeforces,"['binary search', 'data structures', 'implementation']",,
Error Correct System                    ,                527B,2407,,https://www.codeforces.com/problemset/problem/527/B,Codeforces,['greedy'],,
Playing with Paper                    ,                527A,5753,,https://www.codeforces.com/problemset/problem/527/A,Codeforces,"['implementation', 'math']",,
Spiders Evil Plan                    ,                526G,26,,https://www.codeforces.com/problemset/problem/526/G,Codeforces,"['greedy', 'trees']",,
Pudding Monsters                    ,                526F,153,,https://www.codeforces.com/problemset/problem/526/F,Codeforces,"['data structures', 'divide and conquer']",,
Transmitting Levels                    ,                526E,466,,https://www.codeforces.com/problemset/problem/526/E,Codeforces,"['dp', 'implementation']",,
Om Nom and Necklace                    ,                526D,755,,https://www.codeforces.com/problemset/problem/526/D,Codeforces,"['hashing', 'string suffix structures', 'strings']",,
Om Nom and Candies                    ,                526C,1505,,https://www.codeforces.com/problemset/problem/526/C,Codeforces,"['brute force', 'greedy', 'math']",,
Om Nom and Dark Park                    ,                526B,2886,,https://www.codeforces.com/problemset/problem/526/B,Codeforces,"['dfs and similar', 'greedy', 'implementation']",,
King of Thieves                    ,                526A,3429,,https://www.codeforces.com/problemset/problem/526/A,Codeforces,"['brute force', 'implementation']",,
Anya and Cubes                    ,                525E,754,,https://www.codeforces.com/problemset/problem/525/E,Codeforces,"['binary search', 'bitmasks', 'brute force', 'dp', 'meet-in-the-middle']",,
Arthur and Walls                    ,                525D,736,,https://www.codeforces.com/problemset/problem/525/D,Codeforces,"['data structures', 'greedy']",,
Ilya and Sticks                    ,                525C,2963,,https://www.codeforces.com/problemset/problem/525/C,Codeforces,"['greedy', 'sortings']",,
Pasha and String                    ,                525B,3785,,https://www.codeforces.com/problemset/problem/525/B,Codeforces,['greedy'],,
Vitaliy and Pie                    ,                525A,4850,,https://www.codeforces.com/problemset/problem/525/A,Codeforces,"['greedy', 'hashing']",,
And Yet Another Bracket Sequence                    ,                524F,158,,https://www.codeforces.com/problemset/problem/524/F,Codeforces,"['data structures', 'hashing', 'string suffix structures', 'strings']",,
Rooks and Rectangles                    ,                524E,356,,https://www.codeforces.com/problemset/problem/524/E,Codeforces,['data structures'],,
Social Network                    ,                524D,400,,https://www.codeforces.com/problemset/problem/524/D,Codeforces,"['greedy', 'two pointers']",,
The Art of Dealing with ATM                    ,                524C,729,,https://www.codeforces.com/problemset/problem/524/C,Codeforces,"['binary search', 'sortings']",,
Фото на память - 2 (round version)                    ,                524B,193,,https://www.codeforces.com/problemset/problem/524/B,Codeforces,"['dp', 'greedy']",,
"Возможно, вы знаете этих людей?                    ",                524A,203,,https://www.codeforces.com/problemset/problem/524/A,Codeforces,['implementation'],,
Statistics of Recompressing Videos                    ,                523D,345,,https://www.codeforces.com/problemset/problem/523/D,Codeforces,"['data structures', 'implementation']",,
Name Quest                    ,                523C,383,,https://www.codeforces.com/problemset/problem/523/C,Codeforces,['greedy'],,
Mean Requests                    ,                523B,279,,https://www.codeforces.com/problemset/problem/523/B,Codeforces,['implementation'],,
"Rotate, Flip and Zoom                    ",                523A,448,,https://www.codeforces.com/problemset/problem/523/A,Codeforces,['implementation'],,
Closest Equals                    ,                522D,384,,https://www.codeforces.com/problemset/problem/522/D,Codeforces,['data structures'],,
Chicken or Fish?                    ,                522C,196,,https://www.codeforces.com/problemset/problem/522/C,Codeforces,['greedy'],,
Photo to Remember                    ,                522B,833,,https://www.codeforces.com/problemset/problem/522/B,Codeforces,"['data structures', 'dp', 'implementation']",,
Reposts                    ,                522A,875,,https://www.codeforces.com/problemset/problem/522/A,Codeforces,"['dfs and similar', 'dp', 'graphs', 'trees']",,
Cycling City                    ,                521E,94,,https://www.codeforces.com/problemset/problem/521/E,Codeforces,"['dfs and similar', 'graphs']",,
Shop                    ,                521D,218,,https://www.codeforces.com/problemset/problem/521/D,Codeforces,['greedy'],,
Pluses everywhere                    ,                520E,770,,https://www.codeforces.com/problemset/problem/520/E,Codeforces,"['combinatorics', 'dp', 'math', 'number theory']",,
Cubes                    ,                520D,966,,https://www.codeforces.com/problemset/problem/520/D,Codeforces,"['games', 'greedy', 'implementation']",,
DNA Alignment                    ,                520C,2391,,https://www.codeforces.com/problemset/problem/520/C,Codeforces,"['math', 'strings']",,
Two Buttons                    ,                520B,4437,,https://www.codeforces.com/problemset/problem/520/B,Codeforces,"['dfs and similar', 'graphs', 'greedy', 'implementation', 'math', 'shortest paths']",,
Pangram                    ,                520A,6543,,https://www.codeforces.com/problemset/problem/520/A,Codeforces,"['implementation', 'strings']",,
A and B and Lecture Rooms                    ,                519E,934,,https://www.codeforces.com/problemset/problem/519/E,Codeforces,"['binary search', 'data structures', 'dfs and similar', 'dp', 'trees']",,
A and B and Interesting Substrings                    ,                519D,2178,,https://www.codeforces.com/problemset/problem/519/D,Codeforces,"['data structures', 'dp', 'two pointers']",,
A and B and Team Training                    ,                519C,5239,,https://www.codeforces.com/problemset/problem/519/C,Codeforces,"['greedy', 'implementation', 'math', 'number theory']",,
A and B and Compilation Errors                    ,                519B,5795,,https://www.codeforces.com/problemset/problem/519/B,Codeforces,"['data structures', 'implementation']",,
A and B and Chess                    ,                519A,6246,,https://www.codeforces.com/problemset/problem/519/A,Codeforces,['implementation'],,
Pasha and Pipe                    ,                518F,213,,https://www.codeforces.com/problemset/problem/518/F,Codeforces,"['binary search', 'brute force', 'combinatorics', 'dp', 'implementation']",,
Arthur and Questions                    ,                518E,585,,https://www.codeforces.com/problemset/problem/518/E,Codeforces,"['greedy', 'implementation', 'ternary search']",,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Anton and Letters                    ,                443A,7234,,https://www.codeforces.com/problemset/problem/443/A,Codeforces,"['constructive algorithms', 'implementation']",,
Gena and Second Distance                    ,                442E,44,,https://www.codeforces.com/problemset/problem/442/E,Codeforces,['geometry'],,
Adam and Tree                    ,                442D,264,,https://www.codeforces.com/problemset/problem/442/D,Codeforces,"['data structures', 'trees']",,
Artem and Array                     ,                442C,648,,https://www.codeforces.com/problemset/problem/442/C,Codeforces,"['data structures', 'greedy']",,
Andrey and Problem                    ,                442B,1805,,https://www.codeforces.com/problemset/problem/442/B,Codeforces,"['greedy', 'math', 'probabilities']",,
Borya and Hanabi                    ,                442A,1268,,https://www.codeforces.com/problemset/problem/442/A,Codeforces,"['bitmasks', 'brute force', 'implementation']",,
Valera and Number                    ,                441E,186,,https://www.codeforces.com/problemset/problem/441/E,Codeforces,"['bitmasks', 'dp']",,
Valera and Swaps                    ,                441D,509,,https://www.codeforces.com/problemset/problem/441/D,Codeforces,"['constructive algorithms', 'dsu', 'graphs', 'implementation', 'string suffix structures']",,
Valera and Tubes                     ,                441C,2700,,https://www.codeforces.com/problemset/problem/441/C,Codeforces,"['constructive algorithms', 'dfs and similar', 'implementation']",,
Valera and Fruits                    ,                441B,3074,,https://www.codeforces.com/problemset/problem/441/B,Codeforces,"['greedy', 'implementation']",,
Valera and Antique Items                    ,                441A,5366,,https://www.codeforces.com/problemset/problem/441/A,Codeforces,['implementation'],,
Berland Federalization                    ,                440D,79,,https://www.codeforces.com/problemset/problem/440/D,Codeforces,"['dp', 'trees']",,
One-Based Arithmetic                    ,                440C,342,,https://www.codeforces.com/problemset/problem/440/C,Codeforces,"['dfs and similar', 'divide and conquer']",,
